α,β,π_bar,iterations_until_convergence,is_converged
0.035,1.8,0.27062792106541855,200000,"Bool[0, 0]"
0.245,0.44,0.2633612884800168,200000,"Bool[0, 0]"
0.0475,0.24,0.28011711167288533,200000,"Bool[0, 0]"
0.1225,0.92,0.26622820970280975,200000,"Bool[0, 0]"
0.245,0.28,0.2998005976073873,200000,"Bool[0, 0]"
0.1625,0.52,0.27697562545366416,200000,"Bool[0, 0]"
0.0475,1.02,0.27865807638906853,200000,"Bool[0, 0]"
0.17,0.74,0.23473035223735472,200000,"Bool[0, 0]"
0.2025,0.62,0.2503358599640949,200000,"Bool[0, 0]"
0.2275,1.76,0.2895550376126057,200000,"Bool[0, 0]"
0.1525,1.78,0.3146847038240974,200000,"Bool[0, 0]"
0.17,0.76,0.2875169554551651,200000,"Bool[0, 0]"
0.0025,0.64,0.2575548186560461,200000,"Bool[0, 0]"
0.075,1.56,0.2711721851641895,200000,"Bool[0, 0]"
0.2025,0.4,0.2737635564480605,200000,"Bool[0, 0]"
0.1925,0.24,0.27404481856407886,200000,"Bool[0, 0]"
0.1275,0.06,0.27056855914107913,200000,"Bool[0, 0]"
0.1675,0.9,0.25068775583951186,200000,"Bool[0, 0]"
0.1425,1.62,0.25536323770655944,200000,"Bool[0, 0]"
0.13,0.12,0.29284434218055283,200000,"Bool[0, 0]"
0.2075,0.06,0.2719359170426684,200000,"Bool[0, 0]"
0.125,1.38,0.3005166486401757,200000,"Bool[0, 0]"
0.015,1.66,0.27762724565093255,200000,"Bool[0, 0]"
0.1475,0.76,0.24424340367014902,200000,"Bool[0, 0]"
0.1225,1.44,0.26609934223103127,200000,"Bool[0, 0]"
0.215,1.12,0.2728981529809341,200000,"Bool[0, 0]"
0.0925,0.34,0.2929219374899762,200000,"Bool[0, 0]"
0.08,0.86,0.2920504875054624,200000,"Bool[0, 0]"
0.0725,0.8,0.2630149839787731,200000,"Bool[0, 0]"
0.1,0.68,0.25163310996553806,200000,"Bool[0, 0]"
0.1875,1.58,0.3176450800368281,200000,"Bool[0, 0]"
0.1675,0.14,0.2915750718164469,200000,"Bool[0, 0]"
0.2225,1.48,0.25210235934063085,200000,"Bool[0, 0]"
0.1575,1.58,0.2692964163582247,200000,"Bool[0, 0]"
0.22,1.62,0.31247832669186926,200000,"Bool[0, 0]"
0.19,1.9,0.2773666577052603,200000,"Bool[0, 0]"
0.215,0.14,0.28082490227131307,200000,"Bool[0, 0]"
0.045,0.4,0.26357791440564404,200000,"Bool[0, 0]"
0.245,1.36,0.2621275604683152,200000,"Bool[0, 0]"
0.135,1.3,0.25585547629218985,200000,"Bool[0, 0]"
0.0775,0.18,0.2920206380685504,200000,"Bool[0, 0]"
0.2125,0.1,0.2577240200963377,200000,"Bool[0, 0]"
0.0175,1.1,0.24592432365925251,200000,"Bool[0, 0]"
0.0175,1.88,0.2894748685999864,200000,"Bool[0, 0]"
0.24,1.8,0.30873349329593147,200000,"Bool[0, 0]"
0.0425,1.34,0.24033772175009988,200000,"Bool[0, 0]"
0.0325,1.12,0.25802530193620343,200000,"Bool[0, 0]"
0.1875,0.76,0.25411103822301206,200000,"Bool[0, 0]"
0.115,1.44,0.2680180502666786,200000,"Bool[0, 0]"
0.175,0.22,0.28360367413323717,200000,"Bool[0, 0]"
0.1625,1.26,0.2687380761600402,200000,"Bool[0, 0]"
0.105,0.32,0.2620572161684336,200000,"Bool[0, 0]"
0.0825,0.4,0.21866644756221412,200000,"Bool[0, 0]"
0.1275,1.98,0.3164713685161801,200000,"Bool[0, 0]"
0.1575,1.42,0.2447920743347206,200000,"Bool[0, 0]"
0.2475,1.78,0.291322593671454,200000,"Bool[0, 0]"
0.215,0.26,0.2631955708705716,200000,"Bool[0, 0]"
0.19,0.3,0.24056290370477115,200000,"Bool[0, 0]"
0.1425,0.52,0.283204002950574,200000,"Bool[0, 0]"
0.0125,0.72,0.2874166539661996,200000,"Bool[0, 0]"
0.155,0.02,0.3145829310853896,200000,"Bool[0, 0]"
0.0175,0.64,0.2861707049201391,200000,"Bool[0, 0]"
0.18,0.16,0.23238931199206897,200000,"Bool[0, 0]"
0.2225,0.34,0.2610119763984453,200000,"Bool[0, 0]"
0.16,1.38,0.28427907345953873,200000,"Bool[0, 0]"
0.2025,1.08,0.25589054869023964,200000,"Bool[0, 0]"
0.005,1.82,0.2509404805434786,200000,"Bool[0, 0]"
0.075,1.12,0.2903592536810456,200000,"Bool[0, 0]"
0.185,0.74,0.26717042468579355,200000,"Bool[0, 0]"
0.005,0.74,0.2509258050430506,200000,"Bool[0, 0]"
0.2425,0.72,0.27395254603608277,200000,"Bool[0, 0]"
0.14,0.2,0.2356876472342722,200000,"Bool[0, 0]"
0.1025,0.06,0.26315749595321436,200000,"Bool[0, 0]"
0.1275,0.92,0.2647188034135681,200000,"Bool[0, 0]"
0.1825,1.02,0.23956175790359913,200000,"Bool[0, 0]"
0.16,1.98,0.3226079662563225,200000,"Bool[0, 0]"
0.085,0.04,0.28893338678529584,200000,"Bool[0, 0]"
0.0475,1.88,0.2873717930468669,200000,"Bool[0, 0]"
0.15,0.24,0.2787864752600418,200000,"Bool[0, 0]"
0.125,0.94,0.28526935525016894,200000,"Bool[0, 0]"
0.25,0.14,0.2458281082937686,200000,"Bool[0, 0]"
0.1625,0.96,0.25014181374988737,200000,"Bool[0, 0]"
0.195,1.74,0.32952867595448865,200000,"Bool[0, 0]"
0.2475,1.68,0.26315749595321436,200000,"Bool[0, 0]"
0.0675,1.74,0.2726375306982063,200000,"Bool[0, 0]"
